geo_point_2d;geo_shape;objid;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.5618708175, 7.58605395747;"{""type"": ""Point"", ""coordinates"": [7.586053957467104, 47.56187081754084]}";1;3037;Brauchbare Dinge;Sirup Design & Secondhand for Kids;Second-Hand-Shop für Kinder;Totentanz 5;4051;Basel;+41 (0) 61 261 33 01;;;Amt für Umwelt und Energie Basel-Stadt
47.5567503493, 7.58720777552;"{""type"": ""Point"", ""coordinates"": [7.587207775520129, 47.55675034927037]}";2;3036;Brauchbare Dinge;Anna K. First- und Secondhand Fashion;Second-Hand-Shop;Rümelinsplatz 15;4001;Basel;+41 (0) 61 261 62 64;;;Amt für Umwelt und Energie Basel-Stadt
47.5673929179, 7.5899154568;"{""type"": ""Point"", ""coordinates"": [7.589915456803557, 47.56739291792938]}";3;3035;Brauchbare Dinge;FETAG GmbH;Second Hand, Räumungen;Oetlingerstrasse / Hinterhof 50;4057;Basel;+41 (0) 61 693 04 90;;;Amt für Umwelt und Energie Basel-Stadt
47.558101845, 7.58606116021;"{""type"": ""Point"", ""coordinates"": [7.586061160206373, 47.55810184501683]}";5;3033;Brauchbare Dinge;Rindlisbacher Gigi;Damenmode, Second-Hand-Shop;Andreasplatz 7;4051;Basel;+41 (0) 61 261 29 04;;;Amt für Umwelt und Energie Basel-Stadt
47.5590472787, 7.58345314896;"{""type"": ""Point"", ""coordinates"": [7.583453148962221, 47.559047278693306]}";14;3024;Brauchbare Dinge;Flohmarkt Petersplatz;Jeweils am Samstag von 07.30 - 16.00 Uhr / Anmeldung obligatorisch;Petersplatz;4051;Basel;+41 (0) 61 267 70 43;http://www.marketing.bs.ch/messen-maerkte/basler-maerkte/flohmaerkte.html;;Amt für Umwelt und Energie Basel-Stadt
47.5547872972, 7.58958619492;"{""type"": ""Point"", ""coordinates"": [7.589586194919508, 47.5547872972223]}";15;3023;Brauchbare Dinge;Flohmarkt Barfüsserplatz;Jeweils am 2. und 4. Mittwoch im Monat, von 07.00 - 19.00 Uhr / Anmeldung obligatorisch;Barfüsserplatz;4051;Basel;+41 (0) 61 267 70 43;http://www.marketing.bs.ch/messen-maerkte/basler-maerkte/flohmaerkte.html;;Amt für Umwelt und Energie Basel-Stadt
47.5636418411, 7.59892483381;"{""type"": ""Point"", ""coordinates"": [7.598924833810678, 47.56364184110471]}";17;3021;Brauchbare Dinge;Graf Seismo;Secondhand Shop / Musikinstrumente / Auswahl an Lederjacken / Bilder;Riehenring 65;4058;Basel;+41 (0) 61 681 89 26;;;Amt für Umwelt und Energie Basel-Stadt
47.5448113367, 7.58961788619;"{""type"": ""Point"", ""coordinates"": [7.589617886187877, 47.54481133668875]}";19;3019;Brauchbare Dinge;Bücher-Brocky;Bücher;Güterstrasse 137;4053;Basel;+41 (0) 61 361 11 10;;;Amt für Umwelt und Energie Basel-Stadt
47.5536594427, 7.60358067408;"{""type"": ""Point"", ""coordinates"": [7.60358067408245, 47.553659442681806]}";20;3018;Brauchbare Dinge;Buchantiquariat Hupfer & Bieri;Antiquariat / Buchhandlung / Secondhand Shop;St. Alban-Berg 2a;4052;Basel;+41 (0) 61 272 33 21;;;Amt für Umwelt und Energie Basel-Stadt
47.5680923602, 7.60124128189;"{""type"": ""Point"", ""coordinates"": [7.601241281885202, 47.56809236022112]}";22;3016;Brauchbare Dinge;Second Hand Knorli;Secondhand Shop / Brockenhaus / Babyartikel und mehr;Schönaustrasse 47;4058;Basel;+41 (0) 61 681 85 07;;;Amt für Umwelt und Energie Basel-Stadt
